scale_id	category	subcategory	scale_name	scale_description	interpretability	top_explain
LINS030110	ASA/Volume	Accessible surface area (ASA)	ASA (folded coil/turn)	Total median accessible surfaces of whole residues in random coil/turn structures, expressed in Å²  (Lins et al., 2003)	1	10
LINS030113	ASA/Volume	Accessible surface area (ASA)	ASA (folded coil/turn)	% total accessible surfaces of whole residues in random coil/turn structures (Lins et al., 2003)	1	10
JANJ780101	ASA/Volume	Accessible surface area (ASA)	ASA (folded protein)	Average accessible surface area (Janin et al., 1978)	1	10
JANJ780103	ASA/Volume	Accessible surface area (ASA)	ASA (folded protein)	Percentage of exposed residues (Janin et al., 1978)	1	10
LINS030104	ASA/Volume	Accessible surface area (ASA)	ASA (folded protein)	Total median accessible surfaces of whole residues from folded proteins, expressed in Å²  (Lins et al., 2003)	1	10
LINS030107	ASA/Volume	Accessible surface area (ASA)	ASA (folded protein)	% total accessible surfaces vs win3 of whole residues from folded proteins (Lins et al., 2003)	1	10
CHOC760102	ASA/Volume	Accessible surface area (ASA)	ASA (folded proteins)	Residue accessible surface area in folded protein (Chothia, 1976)	1	10
LINS030116	ASA/Volume	Accessible surface area (ASA)	ASA (folded β-strand)	Total median accessible surfaces of whole residues in beta-strands, expressed in Å²  (Lins et al., 2003)	1	10
LINS030119	ASA/Volume	Accessible surface area (ASA)	ASA (folded β-strand)	% total accessible surfaces of whole residues in beta-strands (Lins et al., 2003)	1	10
LINS030103	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA	Hydrophilic accessible surfaces of whole residues (backbone and lateral chain) calculated with a window 3, expressed in Å²  (Lins et al., 2003)	1	10
LINS030112	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded coil/turn)	Hydrophilic median accessible surfaces of whole residues in random coil/turn structures, expressed in Å²  (Lins et al., 2003)	1	10
LINS030115	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded coil/turn)	% Hydrophilic accessible surfaces of whole residues in random coil/turn structures (Lins et al., 2003)	1	10
LINS030106	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded proteins)	Hydrophilic median accessible surfaces of whole residues from folded proteins, expressed in Å²  (Lins et al., 2003)	1	10
LINS030109	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded proteins)	% Hydrophilic accessible surfaces vs win3 of whole residues from folded proteins (Lins et al., 2003)	1	10
LINS030118	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded β-strand)	Hydrophilic median accessible surfaces of whole residues in beta-strands, expressed in Å²  (Lins et al., 2003)	1	10
LINS030121	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded β-strand)	% Hydrophilic accessible surfaces of whole residues in beta-strands (Lins et al., 2003)	1	10
LINS030114	ASA/Volume	Accessible surface area (ASA)	Hydrophobic ASA (folded coil/turn)	% Hydrophobic accessible surfaces of whole residues in random coil/turn structures(Lins et al., 2003)	1	10
LINS030108	ASA/Volume	Accessible surface area (ASA)	Hydrophobic ASA (folded protein)	% Hydrophobic accessible surfaces vs win3 of whole residues from folded proteins (Lins et al., 2003)	1	10
LINS030120	ASA/Volume	Accessible surface area (ASA)	Hydrophobic ASA (folded β-strand)	% Hydrophobic accessible surfaces of whole residues in beta-strands (Lins et al., 2003)	1	10
GUYH850104	ASA/Volume	Accessible surface area (ASA)	Partition energy	Apparent partition energies calculated from Janin index (Guy, 1985)	1	10
GUYH850105	ASA/Volume	Accessible surface area (ASA)	Partition energy	Apparent partition energies calculated from Chothia index (Guy, 1985)	1	10
RACS770103	ASA/Volume	Accessible surface area (ASA)	Side chain orientation	Side chain orientational preference (Rackovsky-Scheraga, 1977)	1	10
VHEG790101	ASA/Volume	Accessible surface area (ASA)	TFE to lipophilic phase	Transfer free energy to lipophilic phase (von Heijne-Blomberg, 1979)	1	10
BIOV880101	ASA/Volume	Buried	Buriability	Information value for accessibility; average fraction 35% (Biou et al., 1988)	1	15
BIOV880102	ASA/Volume	Buried	Buriability	Information value for accessibility; average fraction 23% (Biou et al., 1988)	1	15
WERD780101	ASA/Volume	Buried	Buriability	Propensity to be buried inside (Wertz-Scheraga, 1978)	1	15
ZHOH040103	ASA/Volume	Buried	Buriability	Buriability (Zhou-Zhou, 2004)	1	15
ARGP820103	ASA/Volume	Buried	Buried	Membrane-buried preference parameters (Argos et al., 1982)	1	15
CHOC760103	ASA/Volume	Buried	Buried	Proportion of residues 95% buried (Chothia, 1976)	1	15
CHOC760104	ASA/Volume	Buried	Buried	Proportion of residues 100% buried (Chothia, 1976)	1	15
JANJ780102	ASA/Volume	Buried	Buried	Percentage of buried residues (Janin et al., 1978)	1	15
JANJ790101	ASA/Volume	Buried	Buried	Ratio of buried and accessible molar fractions (Janin, 1979)	1	15
OLSK800101	ASA/Volume	Buried	Buried	Average internal preferences (Olsen, 1980)	1	15
NISK800101	ASA/Volume	Buried	Interactivity	8 A contact number (Nishikawa-Ooi, 1980)	1	15
WARP780101	ASA/Volume	Buried	Interactivity	Average interactions per side chain atom (Warme-Morgan, 1978)	1	15
LINS030111	ASA/Volume	Hydrophobic ASA	Hydrophobic ASA (folded coil/turn)	Hydrophobic median accessible surfaces of whole residues in random coil/turn structures, expressed in Å²  (Lins et al., 2003)	2	15
